Rqt,Priority,Function,Requirement
,,,"Section:HRP-Benefits Administration, Plan Eligibility (114 Reqs)"
709547,Medium,,"Process split eligibility (both spouses both work for the State, one spouse works for state and other works for participating entity,  one spouse works for state and one is retired state) for certain types of benefits based on user defined options, to include:  notification to the 2nd party spouse showing the additional amounts owed and requesting dependent enrollment of the  terminating spouse."
709548,Medium,,"Process split eligibility (both spouses both work for the State, one spouse works for state and other works for participating entity,  one spouse works for state and one is retired state) for certain types of benefits based on user defined options, to include:  provide both agencies designated benefits assistants with the capability of viewing details about both sides of split contracts via  on-line inquiry."
709549,Medium,,"Process split eligibility (both spouses both work for the State, one spouse works for state and other works for participating entity,  one spouse works for state and one is retired state) for certain types of benefits based on user defined options, to include:  linkage between both parties."
709550,Medium,,Support employee's and retiree's with dual eligibility (e.g. State agency and local school district).
709551,Medium,,"Prevent employees from being enrolled in a plan for which they are not eligible, with secure override capability for exceptions."
709552,Medium,,Process benefits eligibility events to include: establishment and maintenance of employee/participant information.
709553,Medium,,"Process benefits eligibility events to include: activation of coverage for employee/participant, spouse, and non-spouse  dependents."
709554,Medium,,Process benefits eligibility events to include: activation of coverage for survivors (former dependents of employees that are  allowed to continue their benefits coverage).
709555,Medium,,Process benefits eligibility events to include: employee and non-employee transfers based on certain types of benefits based on  user defined options (i.e. local employee premium setting).
709556,Medium,,Process benefits eligibility events to include: maintenance of beneficiary information for multiple products.
709557,Medium,,Process benefits eligibility events to include: extended coverage of dependent.
709558,Medium,,"Process benefits eligibility events to include: Medicare, end staged renal disease eligibility."
709559,Medium,,Process benefits eligibility events to include: initiation of conversion process (life insurance specific).
709560,Medium,,Process benefits eligibility events to include: initiation of COBRA processing when an individual's coverage is terminated due to a  cobra qualifying event.
709561,Medium,,Process benefits eligibility events to include: evidence of insurability.
709562,Medium,,Process benefits eligibility events to include: terminating/retiring employees.
709563,Medium,,"Process benefits eligibility events to include: termination of coverage for employee/participant, spouse, and non-spouse  dependents."
